step,episode,timestamp,map_index,robot_x,robot_y,target_x,target_y,total_distance,step_distance,covered_area,exploration_rate,robot_count,max_travel_distance,current_velocity,avg_velocity,current_acceleration,avg_acceleration,current_jerk,avg_jerk,covered_cells_count,total_free_cells,CR,redundant_cells,total_visited_cells,SR,collision_count,computation_time_step,total_computation_time,task_time,success_rate,reward
1,6,1753089860.4235573,6,32,32,114,31,0.0,0.0,251,0.4318958155422716,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251,4684,0.0535866780529462,251,251,1.0,0,0.0003735569090085019,0.0003735569090085019,0.558725118637085,0.0,0
2,6,1753089860.9909785,6,32,33,114,31,1.0,1.0,265,0.4470538001707942,1,1.0,1.7624481210109852,0.8812240605054926,3.1062233792551526,3.1062233792551526,0.0,0.0,265,4684,0.05657557643040137,489,265,1.8452830188679246,0,0.0003735569090085019,0.0007471138180170038,1.1261463165283203,0.0,0
3,6,1753089861.4696074,6,32,33,114,31,1.0,0.0,265,0.4470538001707942,1,1.0,0.0,0.5874827070036618,-3.682116671115841,3.3941700251854967,-7.692699159809592,7.692699159809592,265,4684,0.05657557643040137,741,265,2.7962264150943397,0,0.0003735569090085019,0.0011206707270255058,1.6047751903533936,0.0,0
4,6,1753089862.0047727,6,32,33,114,31,1.0,0.0,265,0.4470538001707942,1,1.0,0.0,0.4406120302527463,0.0,2.262780016790331,6.880847039392151,7.286773099600872,265,4684,0.05657557643040137,993,265,3.7471698113207546,0,0.0003735569090085019,0.0014942276360340077,2.1399405002593994,0.0,0
5,6,1753089862.481844,6,32,33,114,31,1.0,0.0,265,0.4470538001707942,1,1.0,0.0,0.35248962420219704,0.0,1.6970850125927484,0.0,4.8578487330672475,265,4684,0.05657557643040137,1245,265,4.69811320754717,0,0.0003735569090085019,0.0018677845450425095,2.617011785507202,0.0,0
6,6,1753089863.15299,6,32,35,114,31,3.0,2.0,295,0.47566182749786506,1,3.0,2.9800223663101413,0.7904117478868544,4.440266651854347,2.245721340445068,6.616046967453499,5.297398291663811,295,4684,0.0629803586678053,1469,295,4.979661016949152,0,0.0003735569090085019,0.0022413414540510116,3.2881579399108887,0.0,0
7,6,1753089863.787699,6,32,35,114,31,3.0,0.0,295,0.47566182749786506,1,3.0,0.0,0.6774957839030181,-4.694960011563221,2.6539277856314265,-14.392349656897817,7.116388564710613,295,4684,0.0629803586678053,1723,295,5.840677966101695,0,0.0003735569090085019,0.0026148983630595135,3.9228668212890625,0.0,0
8,6,1753089864.329862,6,32,35,114,31,3.0,0.0,295,0.47566182749786506,1,3.0,0.0,0.5928088109151408,0.0,2.274795244826937,8.660092711798889,7.373672589225325,295,4684,0.0629803586678053,1977,295,6.7016949152542376,0,0.0003735569090085019,0.0029884552720680154,4.465029954910278,0.0,0
9,6,1753089864.9969327,6,32,36,114,31,4.0,1.0,310,0.48740392826643897,1,4.0,1.4991205725267644,0.6935101177608768,2.2473624909729737,2.271366150595192,3.3690673441425796,6.801586125642076,310,4684,0.06618274978650726,2217,310,7.151612903225806,0,0.0003735569090085019,0.0033620121810765172,5.132100582122803,0.0,0
10,6,1753089865.5597987,6,32,36,114,31,4.0,0.0,310,0.48740392826643897,1,4.0,0.0,0.6241591059847891,-2.6632914356981923,2.3149134044955253,-8.724116516216723,7.041902424463906,310,4684,0.06618274978650726,2472,310,7.974193548387097,0,0.0003735569090085019,0.003735569090085019,5.694966554641724,0.0,-0.5
11,6,1753089866.3544164,6,32,36,114,31,4.0,0.0,310,0.48740392826643897,1,4.0,0.0,0.567417369077081,0.0,2.0834220640459726,3.3517847499764972,6.63188934952086,310,4684,0.06618274978650726,2727,310,8.796774193548387,0,0.0005139304546239807,0.004249499544709,6.48958420753479,0.0,0
12,6,1753089866.9134166,6,32,36,114,31,4.0,0.0,310,0.48740392826643897,1,4.0,0.0,0.5201325883206576,0.0,1.8940200582236115,0.0,5.968700414568774,310,4684,0.06618274978650726,2982,310,9.619354838709677,0,0.0005139304546239807,0.0047634299993329805,7.048584461212158,0.0,0
13,6,1753089867.5277677,6,32,36,114,31,4.0,0.0,310,0.48740392826643897,1,4.0,0.0,0.4801223892190685,0.0,1.7361850533716439,0.0,5.426091285971613,310,4684,0.06618274978650726,3237,310,10.441935483870967,0,0.0005139304546239807,0.0052773604539569615,7.662935495376587,0.0,0
14,6,1753089868.1918163,6,32,38,114,31,6.0,2.0,341,0.5108881298035867,1,6.0,3.0119723326516072,0.6609688137499641,4.5359886663293825,1.9515545620607004,6.831136182102682,5.543178360649203,341,4684,0.07280102476515798,3464,341,10.158357771260997,0,0.0005139304546239807,0.005791290908580942,8.326984167098999,0.0,0
15,6,1753089868.8377984,6,32,38,114,31,6.0,0.0,341,0.5108881298035867,1,6.0,0.0,0.6169042261666332,-4.662298650087545,2.145179139776904,-14.238232560620446,6.212028683723914,341,4684,0.07280102476515798,3722,341,10.914956011730204,0,0.0005139304546239807,0.006305221363204923,8.972966194152832,0.0,0
16,6,1753089869.440487,6,34,38,114,31,8.0,2.0,362,0.5113151152860803,1,8.0,3.3185318341155,0.7857559516634374,5.506326767018992,2.36925564825971,16.872453577932024,6.973487604738779,362,4684,0.07728437233134074,3978,362,10.988950276243093,0,0.0005139304546239807,0.006819151817828904,9.575654745101929,0.0,0
17,6,1753089870.0948606,6,34,38,114,31,8.0,0.0,362,0.5113151152860803,1,8.0,0.0,0.739535013330294,-5.071482180117017,2.5381448065007914,-16.165332219686498,7.5862772457352925,362,4684,0.07728437233134074,4255,362,11.75414364640884,0,0.0005139304546239807,0.007333082272452885,10.2300283908844,0.0,0
