step,episode,timestamp,map_index,robot_x,robot_y,target_x,target_y,total_distance,step_distance,covered_area,exploration_rate,robot_count,max_travel_distance,current_velocity,avg_velocity,current_acceleration,avg_acceleration,current_jerk,avg_jerk,covered_cells_count,total_free_cells,CR,redundant_cells,total_visited_cells,SR,collision_count,computation_time_step,total_computation_time,task_time,success_rate,reward
1,18,1753094790.0584488,18,1073,288,308,299,5.385164807134504,5.385164807134504,424,0.038206751815316346,1,5.385164807134504,32.44287030363508,32.44287030363508,0.0,0.0,0.0,0.0,424,499362,0.0008490834304572635,210,424,0.49528301886792453,0,0.0001999510909213727,0.0001999510909213727,0.17326855659484863,0.0,0
2,18,1753094790.20074,18,1073,288,308,299,5.385164807134504,0.0,424,0.038206751815316346,1,5.385164807134504,0.0,16.22143515181754,0.0,0.0,0.0,0.0,424,499362,0.0008490834304572635,527,424,1.2429245283018868,0,0.0001999510909213727,0.0003999021818427454,0.31555986404418945,0.0,0
3,18,1753094790.3427174,18,1073,288,308,299,5.385164807134504,0.0,424,0.038206751815316346,1,5.385164807134504,0.0,10.814290101211695,0.0,0.0,0.0,0.0,424,499362,0.0008490834304572635,844,424,1.990566037735849,0,0.0001999510909213727,0.0005998532727641181,0.4575371742248535,0.0,0
4,18,1753094790.5204053,18,1073,304,308,299,21.385164807134505,16.0,708,0.042944797561688716,1,21.385164807134505,90.04202837492251,30.621224669639396,506.7229296168969,168.9076432056323,2851.647525424281,1425.8237627121405,708,499362,0.001417809124442789,877,708,1.2387005649717515,0,0.0001999510909213727,0.0007998043636854908,0.6352250576019287,0.0,0
5,18,1753094790.6712244,18,1073,304,308,299,21.385164807134505,0.0,708,0.042944797561688716,1,21.385164807134505,0.0,24.496979735711516,-597.0107696458707,275.9334248156919,-7318.148171176358,3389.9318988668797,708,499362,0.001417809124442789,1194,708,1.6864406779661016,0,0.0001999510909213727,0.0009997554546068634,0.7860441207885742,0.0,0
6,18,1753094790.8548007,18,1053,304,308,299,41.3851648071345,20.0,1024,0.047971211265574874,1,41.3851648071345,108.98075046801944,38.57760819109617,593.8401986286359,339.51477957828075,6488.991610906166,4164.696826876701,1024,499362,0.002050616586764712,1195,1024,1.1669921875,0,0.0001999510909213727,0.0011997065455282361,0.9696204662322998,0.0,0
7,18,1753094791.0119843,18,1053,304,308,299,41.3851648071345,0.0,1024,0.047971211265574874,1,41.3851648071345,0.0,33.06652130665386,-693.3012960745385,398.4791989943237,-8188.389808995663,4969.435423300494,1024,499362,0.002050616586764712,1512,1024,1.4765625,0,0.0001999510909213727,0.0013996576364496088,1.1268041133880615,0.0,0
8,18,1753094791.2003992,18,1053,319,308,299,56.3851648071345,15.0,1295,0.051459662529387495,1,56.3851648071345,79.60442341270846,38.88375906991068,422.45761512465106,401.9046870129419,5921.289652906858,5128.077794901555,1295,499362,0.002593309062363576,1558,1295,1.2030888030888032,0,0.0001999510909213727,0.0015996087273709816,1.3152189254760742,0.0,0
9,18,1753094791.3623517,18,1053,319,308,299,56.3851648071345,0.0,1295,0.051459662529387495,1,56.3851648071345,0.0,34.56334139547616,-491.51716343800075,413.1062465660742,-5643.333264081798,5201.685719070161,1295,499362,0.002593309062363576,1875,1295,1.4478764478764479,0,0.0001999510909213727,0.0017995598182923543,1.4771714210510254,0.0,0
10,18,1753094791.5242188,18,1053,319,308,299,56.3851648071345,0.0,1295,0.051459662529387495,1,56.3851648071345,0.0,31.107007255928544,0.0,367.2055525031771,3036.1086225647337,4930.988582006982,1295,499362,0.002593309062363576,2192,1295,1.6926640926640926,0,0.0001999510909213727,0.001999510909213727,1.6390385627746582,0.0,-0.5
11,18,1753094791.8041134,18,1053,319,308,299,56.3851648071345,0.0,1295,0.051459662529387495,1,56.3851648071345,0.0,28.279097505389586,0.0,330.4849972528594,0.0,4383.1009617839845,1295,499362,0.002593309062363576,2509,1295,1.9374517374517375,0,0.00021939836369710974,0.0022189092729108365,1.9189331531524658,0.0,0
12,18,1753094791.9656684,18,1053,319,308,299,56.3851648071345,0.0,1295,0.051459662529387495,1,56.3851648071345,0.0,25.922506046607122,0.0,300.44090659350854,0.0,3944.7908656055856,1295,499362,0.002593309062363576,2826,1295,2.1822393822393824,0,0.00021939836369710974,0.0024383076366079463,2.0804882049560547,0.0,0
13,18,1753094792.165147,18,1053,334,308,299,71.3851648071345,15.0,1566,0.05588130454459891,1,71.3851648071345,75.20834105365334,29.713724124072215,377.0863042695092,306.8280230665086,1890.6690252108626,3758.0525164787923,1566,499362,0.00313600153796244,2872,1566,1.8339719029374202,0,0.00021939836369710974,0.002657706000305056,2.2799668312072754,0.0,0
14,18,1753094792.3332775,18,1053,334,308,299,71.3851648071345,0.0,1566,0.05588130454459891,1,71.3851648071345,0.0,27.591315258067056,-447.28661063134433,317.63252980226514,-4902.793517799218,3853.4475999221613,1566,499362,0.00313600153796244,3189,1566,2.0363984674329503,0,0.00021939836369710974,0.0028771043640021658,2.4480972290039062,0.0,0
15,18,1753094792.5389657,18,1032,334,308,299,92.3851648071345,21.0,1883,0.06086966969853533,1,92.3851648071345,102.10075798586035,32.55861143991994,496.4078467279632,330.40219529695787,4588.186638259071,3909.965987486539,1883,499362,0.003770811555544875,3189,1883,1.6935740839086564,0,0.00021939836369710974,0.0030965027276992755,2.653785467147827,0.0,0
16,18,1753094792.713327,18,1032,334,308,299,92.3851648071345,0.0,1883,0.06086966969853533,1,92.3851648071345,0.0,30.52369822492495,-585.6175498938497,347.416552270084,-6206.154334136676,4073.9794408186913,1883,499362,0.003770811555544875,3506,1883,1.8619224641529475,0,0.00021939836369710974,0.0033159010913963853,2.8281466960906982,0.0,0
