step,episode,timestamp,map_index,robot_x,robot_y,target_x,target_y,total_distance,step_distance,covered_area,exploration_rate,robot_count,max_travel_distance,current_velocity,avg_velocity,current_acceleration,avg_acceleration,current_jerk,avg_jerk,covered_cells_count,total_free_cells,CR,redundant_cells,total_visited_cells,SR,collision_count,computation_time_step,total_computation_time,task_time,success_rate,reward
1,15,1753094106.8435187,15,32,32,114,31,0.0,0.0,251,0.4318958155422716,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251,4684,0.0535866780529462,251,251,1.0,0,0.0007974002728587948,0.0007974002728587948,0.5635628700256348,0.0,0
2,15,1753094107.418132,15,32,33,114,31,1.0,1.0,265,0.4470538001707942,1,1.0,1.7403296096409098,0.8701648048204549,3.0287471501928813,3.0287471501928813,0.0,0.0,265,4684,0.05657557643040137,489,265,1.8452830188679246,0,0.0007974002728587948,0.0015948005457175896,1.1381762027740479,0.0,0
3,15,1753094107.8966422,15,32,33,114,31,1.0,0.0,265,0.4470538001707942,1,1.0,0.0,0.5801098698803032,-3.63690834578208,3.332827747987481,-7.600343200704695,7.600343200704695,265,4684,0.05657557643040137,741,265,2.7962264150943397,0,0.0007974002728587948,0.0023922008185763843,1.6166863441467285,0.0,0
4,15,1753094108.4327602,15,32,33,114,31,1.0,0.0,265,0.4470538001707942,1,1.0,0.0,0.43508240241022744,0.0,2.2218851653249874,6.783828185976225,7.19208569334046,265,4684,0.05657557643040137,993,265,3.7471698113207546,0,0.0007974002728587948,0.003189601091435179,2.152804374694824,0.0,0
5,15,1753094108.9141123,15,32,33,114,31,1.0,0.0,265,0.4470538001707942,1,1.0,0.0,0.348065921928182,0.0,1.6664138739937404,0.0,4.794723795560307,265,4684,0.05657557643040137,1245,265,4.69811320754717,0,0.0007974002728587948,0.003987001364293974,2.6341564655303955,0.0,0
6,15,1753094109.5884042,15,32,35,114,31,3.0,2.0,295,0.47566182749786506,1,3.0,2.9660484900343325,0.7843963499458737,4.398721822617472,2.212875463718487,6.52341111002781,5.226895624177183,295,4684,0.0629803586678053,1469,295,4.979661016949152,0,0.0007974002728587948,0.004784401637152769,3.308448314666748,0.0,0
7,15,1753094110.134878,15,32,35,114,31,3.0,0.0,295,0.47566182749786506,1,3.0,0.0,0.6723397285250347,-5.427505001234646,2.7486470533045133,-17.980790067631723,7.777674512868091,295,4684,0.0629803586678053,1723,295,5.840677966101695,0,0.0007974002728587948,0.0055818019100115635,3.85492205619812,0.0,0
8,15,1753094110.6793113,15,32,35,114,31,3.0,0.0,295,0.47566182749786506,1,3.0,0.0,0.5882972624594053,0.0,2.355983188546726,9.969059225381486,8.14290529828699,295,4684,0.0629803586678053,1977,295,6.7016949152542376,0,0.0007974002728587948,0.006379202182870358,4.399355411529541,0.0,0
9,15,1753094111.3485096,15,32,36,114,31,4.0,1.0,310,0.48740392826643897,1,4.0,1.4943983718865395,0.6889751635068646,2.23322649389714,2.3406386017155274,3.3373300365337704,7.456394546607959,310,4684,0.06618274978650726,2217,310,7.151612903225806,0,0.0007974002728587948,0.007176602455729153,5.068553686141968,0.0,0
10,15,1753094111.916469,15,32,36,114,31,4.0,0.0,310,0.48740392826643897,1,4.0,0.0,0.6200776471561782,-2.6310809783573355,2.3729099768979505,-8.564240368499215,7.594875274344366,310,4684,0.06618274978650726,2472,310,7.974193548387097,0,0.0007974002728587948,0.007974002728587948,5.6365132331848145,0.0,-0.5
