step,episode,timestamp,map_index,robot_x,robot_y,target_x,target_y,total_distance,step_distance,covered_area,exploration_rate,robot_count,max_travel_distance,current_velocity,avg_velocity,current_acceleration,avg_acceleration,current_jerk,avg_jerk,covered_cells_count,total_free_cells,CR,redundant_cells,total_visited_cells,SR,collision_count,computation_time_step,total_computation_time,task_time,success_rate,reward
1,23,1753096268.6785712,23,72,23,13,15,0.0,0.0,88,0.16090225563909774,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88,665,0.13233082706766916,88,88,1.0,0,0.0002187655455517498,0.0002187655455517498,0.04930233955383301,0.0,0
2,23,1753096268.764606,23,71,23,13,15,1.0,1.0,95,0.16842105263157894,1,1.0,11.624914426986471,5.812457213493236,135.1386354347582,135.1386354347582,0.0,0.0,95,665,0.14285714285714285,174,95,1.831578947368421,0,0.0002187655455517498,0.0004375310911034996,0.13533711433410645,0.0,0
3,23,1753096268.8038523,23,71,23,13,15,1.0,0.0,95,0.16842105263157894,1,1.0,0.0,3.874971475662157,-296.12477653740893,215.63170598608357,-7543.271292884883,7543.271292884883,95,665,0.14285714285714285,267,95,2.8105263157894735,0,0.0002187655455517498,0.0006562966366552494,0.17458343505859375,0.0,0
4,23,1753096268.8431711,23,71,23,13,15,1.0,0.0,95,0.16842105263157894,1,1.0,0.0,2.906228606746618,0.0,143.75447065738905,7529.8720489485195,7536.571670916701,95,665,0.14285714285714285,360,95,3.789473684210526,0,0.0002187655455517498,0.0008750621822069992,0.21390223503112793,0.0,0
5,23,1753096268.9001985,23,70,22,13,15,2.414213562373095,1.4142135623730951,104,0.24511278195488723,1,2.414213562373095,24.802395095735513,7.2854619045443965,434.9829607437147,216.56159317897047,7628.7058329258125,7567.2830582530705,104,665,0.15639097744360902,451,104,4.336538461538462,0,0.0002187655455517498,0.001093827727758749,0.27092957496643066,0.0,0
6,23,1753096268.9680874,23,70,22,13,15,2.414213562373095,0.0,104,0.24511278195488723,1,2.414213562373095,0.0,6.071218253786998,-365.30552498006773,246.31037953918994,-11787.16024337085,8622.252354532517,104,665,0.15639097744360902,551,104,5.298076923076923,0,0.0002187655455517498,0.0013125932733104987,0.3388185501098633,0.0,0
7,23,1753096269.0245383,23,70,22,13,15,2.414213562373095,0.0,104,0.24511278195488723,1,2.414213562373095,0.0,5.203901360388855,0.0,205.25864961599163,6471.351263672716,8192.072136360557,104,665,0.15639097744360902,651,104,6.259615384615385,0,0.0002187655455517498,0.0015313588188622484,0.39526939392089844,0.0,0
8,23,1753096269.0814044,23,70,22,13,15,2.414213562373095,0.0,104,0.24511278195488723,1,2.414213562373095,0.0,4.553413690340248,0.0,175.93598538513567,0.0,6826.726780300464,104,665,0.15639097744360902,751,104,7.221153846153846,0,0.0002187655455517498,0.0017501243644139981,0.4521355628967285,0.0,0
9,23,1753096269.1377687,23,69,22,13,15,3.414213562373095,1.0,117,0.24661654135338346,1,3.414213562373095,17.74450442522803,6.019090438661113,314.86743729693717,193.30241687411086,5587.166634475711,6649.646759468356,117,665,0.17593984962406015,848,117,7.247863247863248,0,0.0002187655455517498,0.001968889909965748,0.5084998607635498,0.0,0
10,23,1753096269.193609,23,69,22,13,15,3.414213562373095,0.0,117,0.24661654135338346,1,3.414213562373095,0.0,5.417181394795001,-317.752281509105,207.13017961133244,-11328.372670271694,7234.487498318774,117,665,0.17593984962406015,958,117,8.188034188034187,0,0.0002187655455517498,0.0021876554555174976,0.5643401145935059,0.0,-0.5
11,23,1753096269.3308568,23,69,22,13,15,3.414213562373095,0.0,117,0.24661654135338346,1,3.414213562373095,0.0,4.924710358904547,0.0,186.41716165019918,2315.361155331656,6687.917904653539,117,665,0.17593984962406015,1068,117,9.128205128205128,0,0.000261233363661714,0.0024488888191792116,0.7015879154205322,0.0,0
12,23,1753096269.3904352,23,69,22,13,15,3.414213562373095,0.0,117,0.24661654135338346,1,3.414213562373095,0.0,4.514317828995835,0.0,169.47014695472652,0.0,6019.126114188185,117,665,0.17593984962406015,1178,117,10.068376068376068,0,0.000261233363661714,0.0027101221828409257,0.7611663341522217,0.0,0
13,23,1753096269.4959855,23,69,22,13,15,3.414213562373095,0.0,117,0.24661654135338346,1,3.414213562373095,0.0,4.1670626113807705,0.0,155.34763470849933,0.0,5471.932831080168,117,665,0.17593984962406015,1288,117,11.008547008547009,0,0.000261233363661714,0.0029713555465026398,0.8667166233062744,0.0,0
14,23,1753096269.5522816,23,69,22,13,15,3.414213562373095,0.0,117,0.24661654135338346,1,3.414213562373095,0.0,3.8694152819964294,0.0,143.39781665399937,0.0,5015.938428490154,117,665,0.17593984962406015,1398,117,11.948717948717949,0,0.000261233363661714,0.003232588910164354,0.9230127334594727,0.0,0
15,23,1753096269.6082273,23,68,22,13,15,4.414213562373095,1.0,131,0.24812030075187969,1,4.414213562373095,17.878381258471794,4.803346347094787,319.6365164232755,155.98629520894767,5714.583504745101,5069.680357432842,131,665,0.19699248120300752,1503,131,11.473282442748092,0,0.000261233363661714,0.003493822273826068,0.9789583683013916,0.0,0
16,23,1753096269.6633754,23,68,22,13,15,4.414213562373095,0.0,131,0.24812030075187969,1,4.414213562373095,0.0,4.503137200401364,-324.1855779081461,167.19958072222755,-11674.314061400972,5541.439907716281,131,665,0.19699248120300752,1622,131,12.381679389312977,0,0.000261233363661714,0.003755055637487782,1.0341064929962158,0.0,0
17,23,1753096269.717745,23,68,22,13,15,4.414213562373095,0.0,131,0.24812030075187969,1,4.414213562373095,0.0,4.238246776848342,0.0,156.74960692708834,5962.56381925694,5569.514835152325,131,665,0.19699248120300752,1741,131,13.290076335877863,0,0.000261233363661714,0.004016289001149496,1.0884761810302734,0.0,0
18,23,1753096269.7722733,23,68,22,13,15,4.414213562373095,0.0,131,0.24812030075187969,1,4.414213562373095,0.0,4.00278862257899,0.0,147.5290418137302,0.0,5221.420157955304,131,665,0.19699248120300752,1860,131,14.198473282442748,0,0.000261233363661714,0.00427752236481121,1.1430044174194336,0.0,0
19,23,1753096269.8268006,23,68,22,13,15,4.414213562373095,0.0,131,0.24812030075187969,1,4.414213562373095,0.0,3.792115537180096,0.0,139.33298393518965,0.0,4914.277795722639,131,665,0.19699248120300752,1979,131,15.106870229007633,0,0.000261233363661714,0.004538755728472924,1.1975317001342773,0.0,0
20,23,1753096269.8814783,23,68,22,13,15,4.414213562373095,0.0,131,0.24812030075187969,1,4.414213562373095,0.0,3.602509760321091,0.0,131.99966899123228,0.0,4641.262362626937,131,665,0.19699248120300752,2098,131,16.015267175572518,0,0.000261233363661714,0.004799989092134638,1.2522094249725342,0.0,-0.5
21,23,1753096270.0092556,23,68,22,13,15,4.414213562373095,0.0,131,0.24812030075187969,1,4.414213562373095,0.0,3.430961676496277,0.0,125.39968554167066,0.0,4396.985396172888,131,665,0.19699248120300752,2217,131,16.923664122137403,0,0.00026121336354249666,0.005061202455677135,1.3799867630004883,0.0,0
22,23,1753096270.0668228,23,67,22,13,15,5.414213562373095,1.0,147,0.24812030075187969,1,5.414213562373095,17.37908859626588,4.0649674455767135,302.03272043685877,133.81078244144152,5249.053407443373,4439.5887967364115,147,665,0.22105263157894736,2331,147,15.857142857142858,0,0.00026121336354249666,0.005322415819219632,1.437553882598877,0.0,0
23,23,1753096270.1256487,23,67,22,13,15,5.414213562373095,0.0,147,0.24812030075187969,1,5.414213562373095,0.0,3.8882297305516396,-295.22644575535776,141.14785804661955,-10145.911844170165,4711.318465661829,147,665,0.22105263157894736,2461,147,16.741496598639454,0,0.00026121336354249666,0.005583629182762129,1.4963798522949219,0.0,0
24,23,1753096270.1849182,23,67,22,13,15,5.414213562373095,0.0,147,0.24812030075187969,1,5.414213562373095,0.0,3.72622015844532,0.0,135.01099465328826,4980.891145506428,4723.5717692911285,147,665,0.22105263157894736,2591,147,17.625850340136054,0,0.00026121336354249666,0.005844842546304626,1.5556492805480957,0.0,0
