step,episode,timestamp,map_index,robot_x,robot_y,target_x,target_y,total_distance,step_distance,covered_area,exploration_rate,robot_count,max_travel_distance,current_velocity,avg_velocity,current_acceleration,avg_acceleration,current_jerk,avg_jerk,covered_cells_count,total_free_cells,CR,redundant_cells,total_visited_cells,SR,collision_count,computation_time_step,total_computation_time,task_time,success_rate,reward
1,25,1753096457.174776,25,1073,288,308,299,5.385164807134504,5.385164807134504,424,0.038206751815316346,1,5.385164807134504,31.762954768339554,31.762954768339554,0.0,0.0,0.0,0.0,424,499362,0.0008490834304572635,210,424,0.49528301886792453,0,0.00016716036357551772,0.00016716036357551772,0.1765294075012207,0.0,0
2,25,1753096457.3199224,25,1073,288,308,299,5.385164807134504,0.0,424,0.038206751815316346,1,5.385164807134504,0.0,15.881477384169777,0.0,0.0,0.0,0.0,424,499362,0.0008490834304572635,527,424,1.2429245283018868,0,0.00016716036357551772,0.00033432072715103544,0.32167577743530273,0.0,0
3,25,1753096457.465485,25,1073,288,308,299,5.385164807134504,0.0,424,0.038206751815316346,1,5.385164807134504,0.0,10.587651589446518,0.0,0.0,0.0,0.0,424,499362,0.0008490834304572635,844,424,1.990566037735849,0,0.00016716036357551772,0.0005014810907265531,0.4672384262084961,0.0,0
4,25,1753096457.6493223,25,1073,304,308,299,21.385164807134505,16.0,708,0.042944797561688716,1,21.385164807134505,87.04415058854049,29.70177633922001,473.5427594800321,157.84758649334404,2576.1954541433074,1288.0977270716537,708,499362,0.001417809124442789,877,708,1.2387005649717515,0,0.00016716036357551772,0.0006686414543020709,0.6510756015777588,0.0,0
5,25,1753096457.801436,25,1073,304,308,299,21.385164807134505,0.0,708,0.042944797561688716,1,21.385164807134505,0.0,23.76142107137601,-572.0838782310773,261.40665942777736,-6872.215284300164,3149.470246147824,708,499362,0.001417809124442789,1194,708,1.6864406779661016,0,0.00016716036357551772,0.0008358018178775886,0.8031892776489258,0.0,0
6,25,1753096457.9898317,25,1053,304,308,299,41.3851648071345,20.0,1024,0.047971211265574874,1,41.3851648071345,106.17496588927114,37.49701187435853,563.6561690793944,321.85656135810075,6029.358039113426,3869.4421943892244,1024,499362,0.002050616586764712,1195,1024,1.1669921875,0,0.00016716036357551772,0.0010029621814531063,0.9915850162506104,0.0,0
7,25,1753096458.1473696,25,1053,304,308,299,41.3851648071345,0.0,1024,0.047971211265574874,1,41.3851648071345,0.0,32.140295892307314,-674.0144118993171,380.5495364483035,-7856.916192781637,4666.936994067707,1024,499362,0.002050616586764712,1512,1024,1.4765625,0,0.00016716036357551772,0.001170122545028624,1.149122953414917,0.0,0
8,25,1753096458.3378005,25,1053,319,308,299,56.3851648071345,15.0,1295,0.051459662529387495,1,56.3851648071345,78.76587785475878,37.96849363761375,413.604234282052,385.27163613883897,5711.149162511989,4840.972355475087,1295,499362,0.002593309062363576,1558,1295,1.2030888030888032,0,0.00016716036357551772,0.0013372829086041418,1.3395538330078125,0.0,0
9,25,1753096458.50207,25,1053,319,308,299,56.3851648071345,0.0,1295,0.051459662529387495,1,56.3851648071345,0.0,33.74977212232333,-479.5768697174319,397.05979033616313,-5438.25587441165,4926.298572466025,1295,499362,0.002593309062363576,1875,1295,1.4478764478764479,0,0.00016716036357551772,0.0015044432721796595,1.5038232803344727,0.0,0
10,25,1753096458.6651762,25,1053,319,308,299,56.3851648071345,0.0,1295,0.051459662529387495,1,56.3851648071345,0.0,30.374794910090998,0.0,352.94203585436725,2939.599024606084,4677.961128983532,1295,499362,0.002593309062363576,2192,1295,1.6926640926640926,0,0.00016716036357551772,0.0016716036357551773,1.6669294834136963,0.0,-0.5
11,25,1753096458.943994,25,1053,319,308,299,56.3851648071345,0.0,1295,0.051459662529387495,1,56.3851648071345,0.0,27.613449918264543,0.0,317.64783226893053,0.0,4158.187670207584,1295,499362,0.002593309062363576,2509,1295,1.9374517374517375,0,0.00017243436361075675,0.001844037999365934,1.9457473754882812,0.0,0
