step,episode,timestamp,map_index,robot_x,robot_y,target_x,target_y,total_distance,step_distance,covered_area,exploration_rate,robot_count,max_travel_distance,current_velocity,avg_velocity,current_acceleration,avg_acceleration,current_jerk,avg_jerk,covered_cells_count,total_free_cells,CR,redundant_cells,total_visited_cells,SR,collision_count,computation_time_step,total_computation_time,task_time,success_rate,reward
1,7,1753092355.0341718,7,1416,747,269,311,0.0,0.0,317,0.021625222785851383,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317,466816,0.0006790684123937483,317,317,1.0,0,0.0001966932726314884,0.0001966932726314884,0.1548147201538086,0.0,0
2,7,1753092355.171842,7,1419,759,269,311,12.36931687685298,12.36931687685298,548,0.023780247463668767,1,12.36931687685298,89.87246046711584,44.93623023355792,652.9915298336408,652.9915298336408,0.0,0.0,548,466816,0.0011739100630655333,403,548,0.7354014598540146,0,0.0001966932726314884,0.0003933865452629768,0.29248499870300293,0.0,0
3,7,1753092355.2880247,7,1419,759,269,311,12.36931687685298,0.0,548,0.023780247463668767,1,12.36931687685298,0.0,29.957486822371948,-773.462616576895,713.227073205268,-6656.593311594862,6656.593311594862,548,466816,0.0011739100630655333,720,548,1.313868613138686,0,0.0001966932726314884,0.0005900798178944652,0.40866756439208984,0.0,0
4,7,1753092355.40359,7,1419,759,269,311,12.36931687685298,0.0,548,0.023780247463668767,1,12.36931687685298,0.0,22.46811511677896,0.0,475.4847154701786,6694.146473772266,6675.369892683564,548,466816,0.0011739100630655333,1037,548,1.8923357664233578,0,0.0001966932726314884,0.0007867730905259536,0.5242328643798828,0.0,0
5,7,1753092355.5188568,7,1419,771,269,311,24.36931687685298,12.0,772,0.02510410954208939,1,24.36931687685298,104.11900580258789,38.79829325394074,903.397280776611,582.4628567967867,7838.40222660184,7063.04733732299,772,466816,0.0016537565122018098,1130,772,1.4637305699481866,0,0.0001966932726314884,0.0009834663631574422,0.6394996643066406,0.0,0
6,7,1753092355.6301653,7,1419,771,269,311,24.36931687685298,0.0,772,0.02510410954208939,1,24.36931687685298,0.0,32.33191104495062,-935.5208855794862,653.0744625533266,-16522.88492611501,9428.006734520994,772,466816,0.0016537565122018098,1447,772,1.8743523316062176,0,0.0001966932726314884,0.0011801596357889307,0.7508082389831543,0.0,0
7,7,1753092355.7409778,7,1419,771,269,311,24.36931687685298,0.0,772,0.02510410954208939,1,24.36931687685298,0.0,27.713066609957675,0.0,544.2287187944388,8440.239691781615,9230.453325973118,772,466816,0.0016537565122018098,1764,772,2.284974093264249,0,0.0001966932726314884,0.0013768529084204192,0.8616206645965576,0.0,0
8,7,1753092355.8509693,7,1419,771,269,311,24.36931687685298,0.0,772,0.02510410954208939,1,24.36931687685298,0.0,24.248933283712965,0.0,466.48175896666186,0.0,7692.044438310932,772,466816,0.0016537565122018098,2081,772,2.6955958549222796,0,0.0001966932726314884,0.0015735461810519077,0.9716122150421143,0.0,0
9,7,1753092355.9765773,7,1419,784,269,311,37.36931687685298,13.0,1013,0.02561394639429668,1,37.36931687685298,103.49819106732723,33.054406370781216,823.9904272468441,511.1703425016846,6560.116821295574,7530.340493023024,1013,466816,0.0021700198793528926,2157,1013,2.129318854886476,0,0.0001966932726314884,0.0017702394536833962,1.0972201824188232,0.0,0
10,7,1753092356.1139934,7,1419,784,269,311,37.36931687685298,0.0,1013,0.02561394639429668,1,37.36931687685298,0.0,29.748965733703095,-753.0507404454694,538.0459422732163,-11474.519571758861,8023.362877865004,1013,466816,0.0021700198793528926,2474,1013,2.4422507403751235,0,0.0001966932726314884,0.0019669327263148848,1.2346363067626953,0.0,-0.5
11,7,1753092356.36021,7,1419,784,269,311,37.36931687685298,0.0,1013,0.02561394639429668,1,37.36931687685298,0.0,27.04451430336645,0.0,484.24134804589465,3058.84810839329,7471.750125701479,1013,466816,0.0021700198793528926,2791,1013,2.755182625863771,0,0.0002106919089948695,0.0021776246353097544,1.4808528423309326,0.0,0
12,7,1753092356.496335,7,1419,784,269,311,37.36931687685298,0.0,1013,0.02561394639429668,1,37.36931687685298,0.0,24.790804778085914,0.0,440.2194073144497,0.0,6724.575113131332,1013,466816,0.0021700198793528926,3108,1013,3.0681145113524186,0,0.0002106919089948695,0.002388316544304624,1.6169779300689697,0.0,0
13,7,1753092356.6228397,7,1419,797,269,311,50.36931687685298,13.0,1254,0.026123783246503975,1,50.36931687685298,102.8106789251687,30.792333558630745,813.079669311856,471.2910958142336,6430.251755554122,6697.818444260676,1254,466816,0.002686283246503976,3184,1254,2.5390749601275915,0,0.0002106919089948695,0.0025990084532994937,1.7434825897216797,0.0,0
14,7,1753092356.7344966,7,1419,797,269,311,50.36931687685298,0.0,1254,0.026123783246503975,1,50.36931687685298,0.0,28.59288116158569,-920.3447336701607,505.83368334161264,-15517.3376654873,7432.778379362895,1254,466816,0.002686283246503976,3501,1254,2.791866028708134,0,0.0002106919089948695,0.0028097003622943634,1.8551394939422607,0.0,0
15,7,1753092356.8461084,7,1419,797,269,311,50.36931687685298,0.0,1254,0.026123783246503975,1,50.36931687685298,0.0,26.686689084146643,0.0,469.70270596006884,8244.955248535189,7495.253523145379,1254,466816,0.002686283246503976,3818,1254,3.044657097288676,0,0.0002106919089948695,0.003020392271289233,1.9667513370513916,0.0,0
16,7,1753092356.9627373,7,1441,797,269,311,72.36931687685298,22.0,1571,0.02705348574170551,1,72.36931687685298,188.7729827152715,36.81708243609195,1619.7835910554631,546.3747649664285,13898.699083490605,7952.642491741467,1571,466816,0.003365351658897724,3818,1571,2.4302991725015914,0,0.0002106919089948695,0.0032310841802841027,2.0833802223205566,0.0,0
17,7,1753092357.0796754,7,1441,797,269,311,72.36931687685298,0.0,1571,0.02705348574170551,1,72.36931687685298,0.0,34.65137170455713,-1614.1862650447986,613.1129837213266,-27653.479052983337,9266.031595824257,1571,466816,0.003365351658897724,4135,1571,2.6320814767663907,0,0.0002106919089948695,0.0034417760892789724,2.2003183364868164,0.0,0
18,7,1753092357.2111182,7,1441,809,269,311,84.36931687685298,12.0,1795,0.028013178639978063,1,84.36931687685298,91.25160541726345,37.79582913304082,693.9046242689953,617.8654331653071,17551.41659157025,9783.868158058383,1795,466816,0.0038451981080340003,4228,1795,2.355431754874652,0,0.0002106919089948695,0.003652467998273842,2.331761121749878,0.0,0
19,7,1753092357.3505845,7,1441,809,269,311,84.36931687685298,0.0,1795,0.028013178639978063,1,84.36931687685298,0.0,35.806574968143934,-654.271368363556,619.8879851207653,-9666.382826484712,9776.957256201109,1795,466816,0.0038451981080340003,4545,1795,2.532033426183844,0,0.0002106919089948695,0.0038631599072687117,2.4712274074554443,0.0,0
20,7,1753092357.4915833,7,1441,809,269,311,84.36931687685298,0.0,1795,0.028013178639978063,1,84.36931687685298,0.0,34.016246219736736,0.0,587.2623016933567,4640.645137276904,9491.606582927541,1795,466816,0.0038451981080340003,4862,1795,2.708635097493036,0,0.0002106919089948695,0.004073851816263581,2.6122262477874756,0.0,-0.5
21,7,1753092357.741286,7,1441,809,269,311,84.36931687685298,0.0,1795,0.028013178639978063,1,84.36931687685298,0.0,32.396424971177844,0.0,557.8991866086888,0.0,8992.048341720829,1795,466816,0.0038451981080340003,5179,1795,2.8852367688022285,0,0.00021158890905842947,0.0042854407253220105,2.861928939819336,0.0,0
22,7,1753092357.8825798,7,1441,809,269,311,84.36931687685298,0.0,1795,0.028013178639978063,1,84.36931687685298,0.0,30.923860199760668,0.0,531.3325586749418,0.0,8542.445924634787,1795,466816,0.0038451981080340003,5496,1795,3.0618384401114205,0,0.00021158890905842947,0.00449702963438044,3.003222703933716,0.0,0
23,7,1753092358.0118394,7,1462,809,269,311,105.36931687685298,21.0,2112,0.029298481628735946,1,105.36931687685298,162.42033269469425,36.641098134322995,1256.2078320311984,564.2814347365897,9715.890191056564,8598.324223035825,2112,466816,0.0045242665204277485,5496,2112,2.602272727272727,0,0.00021158890905842947,0.00470861854343887,3.1324822902679443,0.0,0
24,7,1753092358.1261058,7,1462,809,269,311,105.36931687685298,0.0,2112,0.029298481628735946,1,105.36931687685298,0.0,35.11438571205954,-1421.2847369103006,601.5424478745772,-23429.820997723004,9272.483167339788,2112,466816,0.0045242665204277485,5813,2112,2.7523674242424243,0,0.00021158890905842947,0.004920207452497299,3.246748685836792,0.0,0
25,7,1753092358.2410805,7,1462,809,269,311,105.36931687685298,0.0,2112,0.029298481628735946,1,105.36931687685298,0.0,33.709810283577156,0.0,576.4781792131365,12362.072180334535,9406.813124426515,2112,466816,0.0045242665204277485,6130,2112,2.902462121212121,0,0.00021158890905842947,0.005131796361555729,3.3617234230041504,0.0,0
26,7,1753092358.3577428,7,1462,809,269,311,105.36931687685298,0.0,2112,0.029298481628735946,1,105.36931687685298,0.0,32.413279118824185,0.0,553.419052044611,0.0,9014.86257757541,2112,466816,0.0045242665204277485,6447,2112,3.0525568181818183,0,0.00021158890905842947,0.005343385270614159,3.4783856868743896,0.0,0
27,7,1753092358.4742365,7,1462,809,269,311,105.36931687685298,0.0,2112,0.029298481628735946,1,105.36931687685298,0.0,31.212787299608475,0.0,532.133703889049,0.0,8654.268074472393,2112,466816,0.0045242665204277485,6764,2112,3.202651515151515,0,0.00021158890905842947,0.005554974179672588,3.594879388809204,0.0,0
28,7,1753092358.5882938,7,1484,809,269,311,127.36931687685298,22.0,2429,0.030857982588428846,1,127.36931687685298,192.8572819937257,36.985804967255525,1690.6332371821563,575.041094011016,14820.496862327476,8891.430720159127,2429,466816,0.005203334932821497,6764,2429,2.7846850555784273,0,0.00021158890905842947,0.005766563088731018,3.7089366912841797,0.0,0
29,7,1753092358.6991446,7,1484,809,269,311,127.36931687685298,0.0,2429,0.030857982588428846,1,127.36931687685298,0.0,35.71043238217774,-1739.7539300732371,616.6379810132382,-30945.316112562083,9708.241290248125,2429,466816,0.005203334932821497,7081,2429,2.91519143680527,0,0.00021158890905842947,0.0059781519977894475,3.8197875022888184,0.0,0
30,7,1753092358.8091478,7,1484,809,269,311,127.36931687685298,0.0,2429,0.030857982588428846,1,127.36931687685298,0.0,34.52008463610515,0.0,595.3746023576093,15817.468374894921,9926.427971842653,2429,466816,0.005203334932821497,7398,2429,3.045697818032112,0,0.00021158890905842947,0.006189740906847877,3.929790735244751,0.0,-0.5
31,7,1753092359.0269349,7,1484,809,269,311,127.36931687685298,0.0,2429,0.030857982588428846,1,127.36931687685298,0.0,33.406533518811436,0.0,575.5287822790223,0.0,9584.13735212394,2429,466816,0.005203334932821497,7715,2429,3.1762041992589545,0,0.0002120244546610841,0.006401765361508961,4.14757776260376,0.0,0
32,7,1753092359.1376293,7,1484,809,269,311,127.36931687685298,0.0,2429,0.030857982588428846,1,127.36931687685298,0.0,32.36257934634858,0.0,556.9633376893764,0.0,9264.666107053143,2429,466816,0.005203334932821497,8032,2429,3.3067105804857966,0,0.0002120244546610841,0.006613789816170045,4.258272171020508,0.0,0
33,7,1753092359.2487438,7,1484,809,269,311,127.36931687685298,0.0,2429,0.030857982588428846,1,127.36931687685298,0.0,31.381895123731958,0.0,539.5582333865834,0.0,8965.80591005143,2429,466816,0.005203334932821497,8349,2429,3.437216961712639,0,0.0002120244546610841,0.006825814270831129,4.369386672973633,0.0,0
34,7,1753092359.359645,7,1505,822,269,311,152.0674949473099,24.698178070456937,2659,0.032531018645462026,1,152.0674949473099,222.68966059372164,37.00859410814342,2007.8681429002052,584.0524730688144,18103.8242571518,9251.368983398315,2659,466816,0.005696034411845352,8349,2659,3.139902218879278,0,0.0002120244546610841,0.0070378387254922126,4.480287790298462,0.0,0
35,7,1753092359.4697695,7,1505,822,269,311,152.0674949473099,0.0,2659,0.032531018645462026,1,152.0674949473099,0.0,35.9512057050536,-2022.1567453066139,626.3496575463968,-36595.062337935546,10079.965751717626,2659,466816,0.005696034411845352,8579,2659,3.2264009025949605,0,0.0002120244546610841,0.007249863180153296,4.590412378311157,0.0,0
36,7,1753092359.5799267,7,1505,822,269,311,152.0674949473099,0.0,2659,0.032531018645462026,1,152.0674949473099,0.0,34.95256110213545,0.0,608.4539530450711,18355.64999332675,10323.368229412012,2659,466816,0.005696034411845352,8809,2659,3.312899586310643,0,0.0002120244546610841,0.00746188763481438,4.7005696296691895,0.0,0
37,7,1753092359.689375,7,1505,822,269,311,152.0674949473099,0.0,2659,0.032531018645462026,1,152.0674949473099,0.0,34.00789728856422,0.0,591.5524543493747,0.0,10028.414851428812,2659,466816,0.005696034411845352,9039,2659,3.399398270026326,0,0.0002120244546610841,0.007673912089475464,4.810017824172974,0.0,0
38,7,1753092359.808129,7,1505,835,269,311,165.0674949473099,13.0,2877,0.036875342747463666,1,165.0674949473099,109.4834879093386,35.9940970417425,922.0487788303303,600.4847874434545,7765.3166406839155,9965.551012241453,2877,466816,0.00616302783109405,9115,2877,3.168230795968022,0,0.0002120244546610841,0.007885936544136548,4.92877197265625,0.0,0
39,7,1753092359.9230146,7,1505,835,269,311,165.0674949473099,0.0,2877,0.036875342747463666,1,165.0674949473099,0.0,35.07117147656961,-952.7512163826104,609.7549566260639,-16314.95314976061,10137.156475417647,2877,466816,0.00616302783109405,9409,2877,3.27042057698992,0,0.0002120244546610841,0.008097960998797633,5.043657541275024,0.0,0
40,7,1753092360.0382726,7,1505,835,269,311,165.0674949473099,0.0,2877,0.036875342747463666,1,165.0674949473099,0.0,34.19439218965537,0.0,594.1202141484725,8266.14699012779,10087.919383699493,2877,466816,0.00616302783109405,9703,2877,3.372610358011818,0,0.0002120244546610841,0.008309985453458717,5.1589155197143555,0.0,-0.5
41,7,1753092360.2644854,7,1505,835,269,311,165.0674949473099,0.0,2877,0.036875342747463666,1,165.0674949473099,0.0,33.36038262405402,0.0,579.2672087947607,0.0,9829.254784117455,2877,466816,0.00616302783109405,9997,2877,3.4748001390337158,0,0.0002190063635432373,0.008528991817001955,5.3851282596588135,0.0,0
42,7,1753092360.3783529,7,1505,835,269,311,165.0674949473099,0.0,2877,0.036875342747463666,1,165.0674949473099,0.0,32.56608779967178,0.0,565.1387402875714,0.0,9583.523414514519,2877,466816,0.00616302783109405,10291,2877,3.5769899200556137,0,0.0002190063635432373,0.008747998180545193,5.498995780944824,0.0,0
43,7,1753092360.495162,7,1527,835,269,311,187.0674949473099,22.0,3171,0.03747729298053194,1,187.0674949473099,188.36566435993223,36.18933376618946,1612.8010686253929,590.0830814384719,13808.924762365035,9686.581983974287,3171,466816,0.006792826295585413,10291,3171,3.2453484705140334,0,0.0002190063635432373,0.008967004544088431,5.61580491065979,0.0,0
