step,episode,timestamp,map_index,robot_x,robot_y,target_x,target_y,total_distance,step_distance,covered_area,exploration_rate,robot_count,max_travel_distance,current_velocity,avg_velocity,current_acceleration,avg_acceleration,current_jerk,avg_jerk,covered_cells_count,total_free_cells,CR,redundant_cells,total_visited_cells,SR,collision_count,computation_time_step,total_computation_time,task_time,success_rate,reward
1,13,1753093534.0168536,13,32,32,114,31,0.0,0.0,251,0.4318958155422716,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251,4684,0.0535866780529462,251,251,1.0,0,0.000789208454576014,0.000789208454576014,0.5558311939239502,0.0,0
2,13,1753093534.5892117,13,32,33,114,31,1.0,1.0,265,0.4470538001707942,1,1.0,1.7471651238797752,0.8735825619398876,3.05258597010183,3.05258597010183,0.0,0.0,265,4684,0.05657557643040137,489,265,1.8452830188679246,0,0.000789208454576014,0.001578416909152028,1.1281893253326416,0.0,0
3,13,1753093535.059413,13,32,33,114,31,1.0,0.0,265,0.4470538001707942,1,1.0,0.0,0.5823883746265918,-3.71598500235005,3.3842854862259397,-7.903399826930545,7.903399826930545,265,4684,0.05657557643040137,741,265,2.7962264150943397,0,0.000789208454576014,0.002367625363728042,1.5983905792236328,0.0,0
4,13,1753093535.5308716,13,32,33,114,31,1.0,0.0,265,0.4470538001707942,1,1.0,0.0,0.4367912809699438,0.0,2.2561903241506265,7.88227181361716,7.892835820273852,265,4684,0.05657557643040137,993,265,3.7471698113207546,0,0.000789208454576014,0.003156833818304056,2.0698492527008057,0.0,0
5,13,1753093536.0539572,13,32,33,114,31,1.0,0.0,265,0.4470538001707942,1,1.0,0.0,0.34943302477595506,0.0,1.6921427431129699,0.0,5.2618905468492345,265,4684,0.05657557643040137,1245,265,4.69811320754717,0,0.000789208454576014,0.0039460422728800695,2.5929348468780518,0.0,0
6,13,1753093536.6677613,13,32,35,114,31,3.0,2.0,295,0.47566182749786506,1,3.0,3.2584875545129774,0.8342754463987921,5.308870571457982,2.4154883087819723,8.649444342808016,6.1087789958389305,295,4684,0.0629803586678053,1469,295,4.979661016949152,0,0.000789208454576014,0.004735250727456083,3.2067389488220215,0.0,0
7,13,1753093537.2579432,13,32,35,114,31,3.0,0.0,295,0.47566182749786506,1,3.0,0.0,0.7150932397703933,-5.521089596787309,2.9330885234495283,-18.349979681741296,8.557019133019404,295,4684,0.0629803586678053,1723,295,5.840677966101695,0,0.000789208454576014,0.005524459182032097,3.7969207763671875,0.0,0
8,13,1753093537.7954283,13,32,35,114,31,3.0,0.0,295,0.47566182749786506,1,3.0,0.0,0.6257065847990941,0.0,2.5140758772424525,10.271791864922227,8.842814588336541,295,4684,0.0629803586678053,1977,295,6.7016949152542376,0,0.000789208454576014,0.00631366763660811,4.334405899047852,0.0,0
9,13,1753093538.402857,13,32,36,114,31,4.0,1.0,310,0.48740392826643897,1,4.0,1.6464302060754132,0.7391203204964629,2.7107324234775274,2.5386579455218374,4.46303174260141,8.217131324660093,310,4684,0.06618274978650726,2217,310,7.151612903225806,0,0.000789208454576014,0.007102876091184124,4.9418346881866455,0.0,0
10,13,1753093539.0099962,13,32,36,114,31,4.0,0.0,310,0.48740392826643897,1,4.0,0.0,0.6652082884468167,-2.711587140850662,2.5578723005583734,-8.930285626417753,8.3062756123798,310,4684,0.06618274978650726,2472,310,7.974193548387097,0,0.000789208454576014,0.007892084545760137,5.548973798751831,0.0,-0.5
11,13,1753093539.7975948,13,32,36,114,31,4.0,0.0,310,0.48740392826643897,1,4.0,0.0,0.6047348076789242,0.0,2.302085070502536,3.442809333340143,7.7658904702642815,310,4684,0.06618274978650726,2727,310,8.796774193548387,0,0.0009468016363495157,0.008838886182109653,6.3365724086761475,0.0,0
12,13,1753093540.349974,13,32,36,114,31,4.0,0.0,310,0.48740392826643897,1,4.0,0.0,0.5543402403723472,0.0,2.09280460954776,0.0,6.989301423237853,310,4684,0.06618274978650726,2982,310,9.619354838709677,0,0.0009468016363495157,0.009785687818459168,6.888951539993286,0.0,0
13,13,1753093540.9050164,13,32,36,114,31,4.0,0.0,310,0.48740392826643897,1,4.0,0.0,0.5116986834206282,0.0,1.91840422541878,0.0,6.353910384761685,310,4684,0.06618274978650726,3237,310,10.441935483870967,0,0.0009468016363495157,0.010732489454808683,7.443994045257568,0.0,0
14,13,1753093541.6139746,13,32,38,114,31,6.0,2.0,341,0.5108881298035867,1,6.0,2.8211434555762644,0.6766590242888879,3.9794251984703934,2.076944300268904,5.613264677810014,6.292189909182379,341,4684,0.07280102476515798,3464,341,10.158357771260997,0,0.0009468016363495157,0.011679291091158199,8.152952194213867,0.0,0
15,13,1753093542.2048643,13,32,38,114,31,6.0,0.0,341,0.5108881298035867,1,6.0,0.0,0.6315484226696287,-4.774162568195585,2.269602747977953,-14.813515055545093,6.9476764589025874,341,4684,0.07280102476515798,3722,341,10.914956011730204,0,0.0009468016363495157,0.012626092727507714,8.743841886520386,0.0,0
16,13,1753093542.8487232,13,34,38,114,31,8.0,2.0,362,0.5113151152860803,1,8.0,3.106381024750004,0.7862254602996521,4.824801535463442,2.439949333810319,14.909019974431418,7.516343852868933,362,4684,0.07728437233134074,3978,362,10.988950276243093,0,0.0009468016363495157,0.01357289436385723,9.38770079612732,0.0,0
17,13,1753093543.440681,13,34,38,114,31,8.0,0.0,362,0.5113151152860803,1,8.0,0.0,0.7399769038114373,-5.24746594355669,2.615419121919467,-17.014616091664195,8.14956200212195,362,4684,0.07728437233134074,4255,362,11.75414364640884,0,0.0009468016363495157,0.014519696000206745,9.979658603668213,0.0,0
18,13,1753093544.08597,13,34,38,114,31,8.0,0.0,362,0.5113151152860803,1,8.0,0.0,0.698867075821913,0.0,2.4615709382771453,8.132032298702796,8.148466395658254,362,4684,0.07728437233134074,4532,362,12.519337016574585,0,0.0009468016363495157,0.01546649763655626,10.624947547912598,0.0,0
