step,episode,timestamp,map_index,robot_x,robot_y,target_x,target_y,total_distance,step_distance,covered_area,exploration_rate,robot_count,max_travel_distance,current_velocity,avg_velocity,current_acceleration,avg_acceleration,current_jerk,avg_jerk,covered_cells_count,total_free_cells,CR,redundant_cells,total_visited_cells,SR,collision_count,computation_time_step,total_computation_time,task_time,success_rate,reward
1,22,1753095775.699019,22,32,32,114,31,0.0,0.0,251,0.4318958155422716,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251,4684,0.0535866780529462,251,251,1.0,0,0.0007912440909091277,0.0007912440909091277,0.5488719940185547,0.0,0
2,22,1753095776.278511,22,32,33,114,31,1.0,1.0,265,0.4470538001707942,1,1.0,1.7256533473767361,0.8628266736883681,2.9778794753125344,2.9778794753125344,0.0,0.0,265,4684,0.05657557643040137,489,265,1.8452830188679246,0,0.0007912440909091277,0.0015824881818182555,1.128364086151123,0.0,0
3,22,1753095776.7621033,22,32,33,114,31,1.0,0.0,265,0.4470538001707942,1,1.0,0.0,0.5752177824589121,-3.5682824061666416,3.2730809407395878,-7.378445589616249,7.378445589616249,265,4684,0.05657557643040137,741,265,2.7962264150943397,0,0.0007912440909091277,0.002373732272727383,1.6119563579559326,0.0,0
4,22,1753095777.238059,22,32,33,114,31,1.0,0.0,265,0.4470538001707942,1,1.0,0.0,0.43141333684418404,0.0,2.1820539604930587,7.497411939340447,7.4379287644783485,265,4684,0.05657557643040137,993,265,3.7471698113207546,0,0.0007912440909091277,0.003164976363636511,2.087912082672119,0.0,0
5,22,1753095777.776571,22,32,33,114,31,1.0,0.0,265,0.4470538001707942,1,1.0,0.0,0.3451306694753472,0.0,1.6365404703697939,0.0,4.958619176318899,265,4684,0.05657557643040137,1245,265,4.69811320754717,0,0.0007912440909091277,0.003956220454545639,2.6264240741729736,0.0,0
6,22,1753095778.399998,22,32,35,114,31,3.0,2.0,295,0.47566182749786506,1,3.0,3.2080929254593133,0.822291045472675,5.145930109191048,2.3384183981340447,8.254310989101937,5.782542129514658,295,4684,0.0629803586678053,1469,295,4.979661016949152,0,0.0007912440909091277,0.004747464545454766,3.2498509883880615,0.0,0
7,22,1753095778.9958596,22,32,35,114,31,3.0,0.0,295,0.47566182749786506,1,3.0,0.0,0.7048208961194357,-5.383919200151766,2.8460018651369983,-17.67151363396334,8.160336430404394,295,4684,0.0629803586678053,1723,295,5.840677966101695,0,0.0007912440909091277,0.005538708636363894,3.845712661743164,0.0,0
8,22,1753095779.5338285,22,32,35,114,31,3.0,0.0,295,0.47566182749786506,1,3.0,0.0,0.6167182841045062,0.0,2.439430170117427,10.008036744425928,8.468286482741316,295,4684,0.0629803586678053,1977,295,6.7016949152542376,0,0.0007912440909091277,0.006329952727273021,4.383681535720825,0.0,0
9,22,1753095780.141764,22,32,36,114,31,4.0,1.0,310,0.48740392826643897,1,4.0,1.6450063712903265,0.7309725160140419,2.7060459615857675,2.47275714405097,4.451462847813046,7.894454534894421,310,4684,0.06618274978650726,2217,310,7.151612903225806,0,0.0007912440909091277,0.0071211968181821485,4.99161696434021,0.0,0
10,22,1753095780.7485168,22,32,36,114,31,4.0,0.0,310,0.48740392826643897,1,4.0,0.0,0.6578752644126377,-2.7109943373267487,2.4992279433038345,-8.927360909796002,8.023567831757118,310,4684,0.06618274978650726,2472,310,7.974193548387097,0,0.0007912440909091277,0.007912440909091276,5.598369836807251,0.0,-0.5
11,22,1753095781.5477655,22,32,36,114,31,4.0,0.0,310,0.48740392826643897,1,4.0,0.0,0.598068422193307,0.0,2.249305148973451,3.3919334451456367,7.508941788800287,310,4684,0.06618274978650726,2727,310,8.796774193548387,0,0.0009319265455732503,0.008844367454664527,6.397618532180786,0.0,0
12,22,1753095782.1095314,22,32,36,114,31,4.0,0.0,310,0.48740392826643897,1,4.0,0.0,0.5482293870105314,0.0,2.0448228627031373,0.0,6.758047609920259,310,4684,0.06618274978650726,2982,310,9.619354838709677,0,0.0009319265455732503,0.009776294000237778,6.959384441375732,0.0,0
13,22,1753095782.6746316,22,32,36,114,31,4.0,0.0,310,0.48740392826643897,1,4.0,0.0,0.506057895702029,0.0,1.8744209574778756,0.0,6.143679645382053,310,4684,0.06618274978650726,3237,310,10.441935483870967,0,0.0009319265455732503,0.01070822054581103,7.524484634399414,0.0,0
