step,episode,timestamp,map_index,robot_x,robot_y,target_x,target_y,total_distance,step_distance,covered_area,exploration_rate,robot_count,max_travel_distance,current_velocity,avg_velocity,current_acceleration,avg_acceleration,current_jerk,avg_jerk,covered_cells_count,total_free_cells,CR,redundant_cells,total_visited_cells,SR,collision_count,computation_time_step,total_computation_time,task_time,success_rate,reward
1,5,1753091574.130461,5,55,16,16,17,0.0,0.0,214,0.6903225806451613,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214,1085,0.19723502304147467,214,214,1.0,0,0.0005369444545728832,0.0005369444545728832,0.7049839496612549,0.0,0
2,5,1753091574.6568372,5,55,16,16,17,0.0,0.0,214,0.6903225806451613,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214,1085,0.19723502304147467,428,214,2.0,0,0.0005369444545728832,0.0010738889091457663,1.2313601970672607,0.0,0
3,5,1753091575.2504797,5,56,16,16,17,1.0,1.0,216,0.7013824884792627,1,1.0,1.6845047637828006,0.5615015879276002,2.8375562992069487,1.4187781496034744,4.779877103515999,4.779877103515999,216,1085,0.19907834101382488,633,216,2.9305555555555554,0,0.0005369444545728832,0.0016108333637186495,1.825002670288086,0.0,0
4,5,1753091575.7877474,5,56,16,16,17,1.0,0.0,216,0.7013824884792627,1,1.0,0.0,0.42112619094570014,-3.135213133100095,1.990923144102348,-11.116564089196222,7.94822059635611,216,1085,0.19907834101382488,840,216,3.888888888888889,0,0.0005369444545728832,0.0021477778182915326,2.3622703552246094,0.0,0
5,5,1753091576.3736703,5,56,16,16,17,1.0,0.0,216,0.7013824884792627,1,1.0,0.0,0.3369009527565601,0.0,1.493192358076761,5.351035914918468,7.082492369210229,216,1085,0.19907834101382488,1047,216,4.847222222222222,0,0.0005369444545728832,0.0026847222728644156,2.948193311691284,0.0,0
6,5,1753091576.9391563,5,56,17,16,17,2.0,1.0,225,0.7290322580645161,1,2.0,1.768435254831855,0.5754900031024426,3.1273632505322073,1.8200265365678505,5.530539426906702,6.694504133634347,225,1085,0.2073732718894009,1258,225,5.591111111111111,0,0.0005369444545728832,0.0032216667274372985,3.513679265975952,0.0,0
7,5,1753091577.5602853,5,56,17,16,17,2.0,0.0,225,0.7290322580645161,1,2.0,0.0,0.49327714551637936,-2.8470034633297514,1.991189357694834,-9.618131440828025,7.279229595073083,225,1085,0.2073732718894009,1478,225,6.568888888888889,0,0.0005369444545728832,0.0037586111820101815,4.134808301925659,0.0,0
8,5,1753091578.127687,5,57,17,16,17,3.0,1.0,226,0.7299539170506912,1,3.0,1.762492557013174,0.6519290719534787,3.1063800135268362,2.1505023085279773,10.492794067004947,7.814823673728394,226,1085,0.20829493087557605,1684,226,7.451327433628318,0,0.0005369444545728832,0.004295555636583064,4.702209949493408,0.0,0
9,5,1753091578.7487376,5,57,17,16,17,3.0,0.0,226,0.7299539170506912,1,3.0,0.0,0.5794925084030922,-2.837873109240857,2.236423658617087,-9.571124725888607,8.065723824036995,226,1085,0.20829493087557605,1891,226,8.367256637168142,0,0.0005369444545728832,0.004832500091155947,5.323260545730591,0.0,0
10,5,1753091579.316609,5,57,17,16,17,3.0,0.0,226,0.7299539170506912,1,3.0,0.0,0.521543257562783,0.0,1.9879321409929662,4.99741269930988,7.682184933446106,226,1085,0.20829493087557605,2098,226,9.283185840707965,0,0.0005369444545728832,0.00536944454572883,5.89113187789917,0.0,-0.5
11,5,1753091580.123802,5,57,17,16,17,3.0,0.0,226,0.7299539170506912,1,3.0,0.0,0.4741302341479845,0.0,1.7891389268936695,0.0,6.8286088297298715,226,1085,0.20829493087557605,2305,226,10.199115044247788,0,0.0006883909999570195,0.00605783554568585,6.698324918746948,0.0,0
12,5,1753091580.7543283,5,57,17,16,17,3.0,0.0,226,0.7299539170506912,1,3.0,0.0,0.43461938130231914,0.0,1.6264899335396996,0.0,6.1457479467568845,226,1085,0.20829493087557605,2512,226,11.11504424778761,0,0.0006883909999570195,0.0067462265456428696,7.328851222991943,0.0,0
13,5,1753091581.3762167,5,57,18,16,17,4.0,1.0,234,0.7603686635944701,1,4.0,1.6080191169417495,0.5248808994284292,2.5857254804501237,1.706426229115568,4.157896003727188,5.965034133754185,234,1085,0.21566820276497695,2723,234,11.636752136752136,0,0.0006883909999570195,0.007434617545599889,7.950739622116089,0.0,0
14,5,1753091582.0506756,5,57,18,16,17,4.0,0.0,234,0.7603686635944701,1,4.0,0.0,0.4873894066121128,-2.3842491271032014,1.7585664520376936,-7.369102453409044,6.082039827058757,234,1085,0.21566820276497695,2942,234,12.572649572649572,0,0.0006883909999570195,0.008123008545556908,8.625198602676392,0.0,0
15,5,1753091582.6692698,5,57,18,16,17,4.0,0.0,234,0.7603686635944701,1,4.0,0.0,0.4548967795046386,0.0,1.63295456260643,3.854050094693602,5.910656001492206,234,1085,0.21566820276497695,3161,234,13.508547008547009,0,0.0006883909999570195,0.008811399545513927,9.24379277229309,0.0,0
16,5,1753091583.2789776,5,58,18,16,17,5.0,1.0,235,0.7658986175115208,1,5.0,1.6401747203028276,0.5289766508045254,2.690173113120459,1.703435799307365,4.412353933378536,5.803634425198373,235,1085,0.21658986175115208,3364,235,14.314893617021276,0,0.0006883909999570195,0.009499790545470945,9.853500604629517,0.0,0
17,5,1753091583.9431636,5,58,18,16,17,5.0,0.0,235,0.7658986175115208,1,5.0,0.0,0.4978603772277886,-2.4694748384074034,1.7513132392511177,-7.768453344400928,5.93462235314521,235,1085,0.21658986175115208,3568,235,15.182978723404256,0,0.0006883909999570195,0.010188181545427964,10.517686605453491,0.0,0
18,5,1753091584.5910804,5,58,19,16,17,6.0,1.0,242,0.791705069124424,1,6.0,1.543436454695659,0.5559479370871148,2.3821960896835046,1.7884239951589052,7.488245776602628,6.031723817111299,242,1085,0.22304147465437787,3775,242,15.599173553719009,0,0.0006883909999570195,0.010876572545384983,11.165603399276733,0.0,0
19,5,1753091585.29224,5,58,19,16,17,6.0,0.0,242,0.791705069124424,1,6.0,0.0,0.5266875193456876,-2.2012802733342403,1.8113604550575348,-6.537046647115915,6.061448689464512,242,1085,0.22304147465437787,3989,242,16.483471074380166,0,0.0006883909999570195,0.011564963545342002,11.86676287651062,0.0,0
20,5,1753091585.9996152,5,58,19,16,17,6.0,0.0,242,0.791705069124424,1,6.0,0.0,0.5003531433784032,0.0,1.7160256942650332,3.111820086122347,5.897580433723281,242,1085,0.22304147465437787,4203,242,17.367768595041323,0,0.0006883909999570195,0.01225335454529902,12.574138164520264,0.0,-0.5
21,5,1753091586.8569407,5,58,19,16,17,6.0,0.0,242,0.791705069124424,1,6.0,0.0,0.4765268032175269,0.0,1.6302244095517815,0.0,5.587181463527318,242,1085,0.22304147465437787,4417,242,18.25206611570248,0,0.0008084154545609966,0.013061769999860017,13.431463718414307,0.0,0
22,5,1753091587.5560248,5,58,19,16,17,6.0,0.0,242,0.791705069124424,1,6.0,0.0,0.4548664939803666,0.0,1.5525946757636013,0.0,5.307822390350952,242,1085,0.22304147465437787,4631,242,19.136363636363637,0,0.0008084154545609966,0.013870185454421013,14.130547761917114,0.0,0
23,5,1753091588.2202425,5,58,20,16,17,7.0,1.0,253,0.8110599078341014,1,7.0,1.505528845981276,0.5005474658064931,2.2666171060817124,1.585050240778061,3.41245743600062,5.21756691633427,253,1085,0.23317972350230415,4843,253,19.142292490118578,0,0.0008084154545609966,0.01467860090898201,14.79476547241211,0.0,0
