step,episode,timestamp,map_index,robot_x,robot_y,target_x,target_y,total_distance,step_distance,covered_area,exploration_rate,robot_count,max_travel_distance,current_velocity,avg_velocity,current_acceleration,avg_acceleration,current_jerk,avg_jerk,covered_cells_count,total_free_cells,CR,redundant_cells,total_visited_cells,SR,collision_count,computation_time_step,total_computation_time,task_time,success_rate,reward
1,4,1753089438.1910326,4,1073,288,308,299,5.385164807134504,5.385164807134504,424,0.038206751815316346,1,5.385164807134504,32.17817335372951,32.17817335372951,0.0,0.0,0.0,0.0,424,499362,0.0008490834304572635,210,424,0.49528301886792453,0,0.0001587021817447914,0.0001587021817447914,0.17441511154174805,0.0,0
2,4,1753089438.3341358,4,1073,288,308,299,5.385164807134504,0.0,424,0.038206751815316346,1,5.385164807134504,0.0,16.089086676864756,0.0,0.0,0.0,0.0,424,499362,0.0008490834304572635,527,424,1.2429245283018868,0,0.0001587021817447914,0.0003174043634895828,0.3175182342529297,0.0,0
3,4,1753089438.4786634,4,1073,288,308,299,5.385164807134504,0.0,424,0.038206751815316346,1,5.385164807134504,0.0,10.726057784576504,0.0,0.0,0.0,0.0,424,499362,0.0008490834304572635,844,424,1.990566037735849,0,0.0001587021817447914,0.0004761065452343742,0.46204590797424316,0.0,0
4,4,1753089438.660223,4,1073,304,308,299,21.385164807134505,16.0,708,0.042944797561688716,1,21.385164807134505,88.13229392111954,30.077616818712265,485.45632698741275,161.81877566247093,2674.0237309951112,1337.0118654975556,708,499362,0.001417809124442789,877,708,1.2387005649717515,0,0.0001587021817447914,0.0006348087269791656,0.6436054706573486,0.0,0
5,4,1753089438.812878,4,1073,304,308,299,21.385164807134505,0.0,708,0.042944797561688716,1,21.385164807134505,0.0,24.062093454969812,-577.3240056389116,265.69508315658106,-6961.904330950951,3211.9760206486876,708,499362,0.001417809124442789,1194,708,1.6864406779661016,0,0.0001587021817447914,0.0007935109087239571,0.7962603569030762,0.0,0
6,4,1753089439.0010366,4,1053,304,308,299,41.3851648071345,20.0,1024,0.047971211265574874,1,41.3851648071345,106.27369701269414,37.7640273812572,564.7049338372958,325.497053292724,6068.381874681144,3926.077484156802,1024,499362,0.002050616586764712,1195,1024,1.1669921875,0,0.0001587021817447914,0.0009522130904687485,0.9844191074371338,0.0,0
7,4,1753089439.1615005,4,1053,304,308,299,41.3851648071345,0.0,1024,0.047971211265574874,1,41.3851648071345,0.0,32.36916632679189,-662.3310977604984,381.6360607040197,-7647.274392861076,4670.3168658976565,1024,499362,0.002050616586764712,1512,1024,1.4765625,0,0.0001587021817447914,0.00111091527221354,1.1448829174041748,0.0,0
8,4,1753089439.349618,4,1053,319,308,299,56.3851648071345,15.0,1295,0.051459662529387495,1,56.3851648071345,79.73891232904144,38.290384577073084,423.8862759612371,387.6718057407651,5774.252795565275,4854.306187508926,1295,499362,0.002593309062363576,1558,1295,1.2030888030888032,0,0.0001587021817447914,0.0012696174539583314,1.3330004215240479,0.0,0
9,4,1753089439.5142162,4,1053,319,308,299,56.3851648071345,0.0,1295,0.051459662529387495,1,56.3851648071345,0.0,34.03589740184274,-484.41067304536745,399.76416415384034,-5517.867293922146,4949.100631282243,1295,499362,0.002593309062363576,1875,1295,1.4478764478764479,0,0.0001587021817447914,0.001428319635703123,1.497598648071289,0.0,0
10,4,1753089439.6802514,4,1053,319,308,299,56.3851648071345,0.0,1295,0.051459662529387495,1,56.3851648071345,0.0,30.632307661658466,0.0,355.3459236923025,2917.5895856413863,4695.161750577136,1295,499362,0.002593309062363576,2192,1295,1.6926640926640926,0,0.0001587021817447914,0.0015870218174479144,1.6636338233947754,0.0,-0.5
11,4,1753089439.956581,4,1053,319,308,299,56.3851648071345,0.0,1295,0.051459662529387495,1,56.3851648071345,0.0,27.847552419689517,0.0,319.8113313230723,0.0,4173.477111624121,1295,499362,0.002593309062363576,2509,1295,1.9374517374517375,0,0.0001775427271323596,0.001764564544580274,1.9399635791778564,0.0,0
12,4,1753089440.1216,4,1053,319,308,299,56.3851648071345,0.0,1295,0.051459662529387495,1,56.3851648071345,0.0,25.526923051382056,0.0,290.7375739300657,0.0,3756.1294004617093,1295,499362,0.002593309062363576,2826,1295,2.1822393822393824,0,0.0001775427271323596,0.0019421072717126337,2.104982376098633,0.0,0
13,4,1753089440.3215773,4,1053,334,308,299,71.3851648071345,15.0,1566,0.05588130454459891,1,71.3851648071345,75.01062305214238,29.333361512979003,375.10623804470623,297.76829593961907,1875.796841765243,3585.190076943849,1566,499362,0.00313600153796244,2872,1566,1.8339719029374202,0,0.0001775427271323596,0.002119649998844993,2.304959774017334,0.0,0
14,4,1753089440.493296,4,1053,334,308,299,71.3851648071345,0.0,1566,0.05588130454459891,1,71.3851648071345,0.0,27.238121404909073,-436.7944393139026,308.4626146607178,-4727.7797026017715,3680.405879082009,1566,499362,0.00313600153796244,3189,1566,2.0363984674329503,0,0.0001775427271323596,0.002297192725977353,2.4766783714294434,0.0,0
